elapsed,p10,p21,p31,p22,p32,t1,t2,p20,p30,pINJ,inj1,inj2,ign,lc
1693498039578959499,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693498039648138647,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693498039717312032,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693498039786485585,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693498039855658761,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693498039924833308,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693498039994008906,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693498040063178501,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693498040132349177,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693498040201522190,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693498040270695676,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693498040339869139,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693498040409042928,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693498040478215844,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693498040547343347,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693498040616547843,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693498040685721293,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693498040754900037,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693498040824083198,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693498040893258293,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693498040962432437,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693498041031523676,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693498041100702106,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693498041169882310,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693498041238944838,13.1627,1.04642,2.37164,1.14108,14.7719,25.7267,24.0858,1.35761,19.3702,5.62375,25.5954,25.6736,-273,32.6325
1693498041308010792,13.1627,1.04642,2.37164,1.14108,14.7719,25.7267,24.0858,1.35761,19.3702,5.62375,25.5954,25.6736,-273,32.6325
1693498041377186052,13.7306,0.95176,4.17014,1.04642,14.9612,25.5999,23.646,1.35761,20.3182,7.42501,25.1365,24.7452,-273,20.2449
1693498041446362225,14.3932,1.33039,2.46629,1.14108,14.7719,26.1757,22.8146,1.45241,19.5598,4.96013,25.7622,25.2147,-273,18.6648
