elapsed,p10,p21,p31,p22,p32,t1,t2,p20,p30,pINJ,inj1,inj2,ign,lc
1693503880642891960,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693503880711987537,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693503880781191543,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693503880850364811,11.9321,1.14108,1.33039,0.95176,14.6772,28.5837,26.4012,2.68485,16.4313,7.61461,26.4313,27.8369,24.4759,8.93173
1693503880919508710,11.4588,0.857102,2.08766,1.14108,11.2695,28.3986,25.435,2.87446,19.6546,5.52894,26.4799,27.3391,24.603,-3.32895
1693503880988726912,11.4588,0.857102,2.08766,1.14108,11.2695,28.3986,25.435,2.87446,19.6546,5.52894,26.4799,27.3391,24.603,-3.32895
1693503881057828149,11.9321,1.14108,2.56095,1.04642,13.068,28.8658,25.7474,2.87446,17.4741,7.1406,26.5875,27.5247,25.102,-9.33221
1693503881127013187,10.7016,1.04642,2.56095,0.857102,11.2695,28.7394,25.9329,2.40044,17.8533,5.81335,27.1343,27.9149,24.8673,-11.228
1693503881196191522,10.7016,1.04642,2.56095,0.857102,11.2695,28.7394,25.9329,2.40044,17.8533,5.81335,27.1343,27.9149,24.8673,-11.228
1693503881265369008,11.2695,1.04642,2.46629,1.33039,13.4467,28.7586,25.796,3.72769,19.6546,7.51981,26.7924,27.6514,25.1508,-11.5439
1693503881334544473,13.068,1.14108,2.65561,1.23574,11.9321,28.3986,25.9035,3.72769,18.0429,3.72769,27.0268,27.6514,25.1508,-12.871
1693503881403725125,13.1627,1.14108,3.79151,1.23574,13.5413,28.3794,26.0404,4.2017,19.0858,6.47697,27.1049,27.7294,25.6201,-12.4286
1693503881472905907,13.1627,1.14108,3.79151,1.23574,13.5413,28.3794,26.0404,4.2017,19.0858,6.47697,27.1049,27.7294,25.6201,-12.4286
1693503881542089615,9.84964,0.95176,2.84493,1.33039,13.4467,28.7394,26.6352,4.2017,19.3702,5.71855,26.4313,27.4466,24.1628,-12.9342
1693503881611225671,9.66033,1.04642,2.37164,1.04642,13.2573,28.6131,26.5866,2.68485,18.0429,7.2354,27.5247,27.5247,24.1628,-12.1759
1693503881680403340,9.66033,1.04642,2.37164,1.04642,13.2573,28.6131,26.5866,2.68485,18.0429,7.2354,27.5247,27.5247,24.1628,-12.1759
1693503881749591219,11.4588,0.762443,1.80369,1.14108,13.2573,28.6131,25.9623,4.67572,17.9481,5.81335,26.7438,27.5247,25.4931,-12.9342
1693503881818774284,12.6894,0.95176,2.46629,1.14108,13.068,28.2722,26.1671,1.73682,19.6546,7.3302,26.6657,27.4466,24.0844,-12.4286
1693503881887952343,12.6894,0.95176,2.46629,1.14108,13.068,28.2722,26.1671,1.73682,19.6546,7.3302,26.6657,27.4466,24.0844,-12.4286
1693503881957130360,11.3642,0.95176,2.56095,1.04642,13.068,28.973,26.089,2.77966,19.3702,5.52894,26.8514,27.6322,24.7403,-12.8078
1693503882026306386,11.6482,1.04642,2.56095,1.04642,12.9734,28.6909,25.6501,3.72769,18.1378,5.71855,26.9,27.9149,24.3194,-13.0606
1693503882095481778,11.6482,1.04642,2.56095,1.04642,12.9734,28.6909,25.6501,3.72769,18.1378,5.71855,26.9,27.9149,24.3194,-13.0606
1693503882164658186,11.7428,1.04642,2.46629,1.23574,13.068,28.4765,25.2788,2.77966,18.8014,7.1406,26.7924,27.8075,24.6812,-12.6814
1693503882233836232,12.8787,0.95176,2.65561,1.04642,13.2573,28.5544,24.9663,2.87446,18.0429,8.46784,26.5875,27.6028,24.3976,-11.7967
1693503882302908588,12.8787,0.95176,2.65561,1.04642,13.2573,28.5544,24.9663,2.87446,18.0429,8.46784,26.5875,27.6028,24.3976,-11.7967
1693503882372089389,11.5535,1.04642,2.37164,1.23574,13.1627,29.0802,26.5086,4.48611,17.7585,5.81335,26.216,27.3097,24.8865,-13.1869
1693503882441269602,11.5535,1.14108,2.37164,1.04642,12.9734,29.0215,26.5278,2.77966,17.9481,7.3302,27.3686,27.3686,24.1628,-12.3654
1693503882510450770,10.4176,1.04642,2.46629,1.04642,13.92,28.788,25.9816,2.87446,19.7494,4.0121,26.6362,27.8075,24.6812,-13.6293
1693503882579627135,10.4176,1.04642,2.46629,1.04642,13.92,28.788,25.9816,2.87446,19.7494,4.0121,26.6362,27.8075,24.6812,-13.6293
1693503882648804684,11.5535,1.04642,2.46629,1.14108,13.1627,28.9143,25.8741,2.77966,17.9481,8.94185,26.8219,27.2124,24.4759,-12.3654
1693503882717979724,11.5535,1.04642,4.2648,1.14108,13.068,28.2722,26.3232,4.39131,18.0429,4.2017,26.5581,27.7294,24.7595,-13.0606
1693503882787166350,11.5535,1.04642,4.2648,1.14108,13.068,28.2722,26.3232,4.39131,18.0429,4.2017,26.5581,27.7294,24.7595,-13.0606
1693503882856349726,11.7428,0.95176,3.22356,1.23574,13.2573,28.3016,25.7281,1.92643,18.0429,7.1406,26.6951,27.7102,24.7403,-12.6182
1693503882925526908,11.7428,0.95176,2.65561,1.23574,13.352,28.6131,26.3526,2.96926,18.991,5.14973,27.1343,27.5247,24.8673,-12.6182
1693503882994703729,11.7428,0.95176,2.65561,1.23574,13.352,28.6131,26.3526,2.96926,18.991,5.14973,27.1343,27.5247,24.8673,-12.6182
1693503883063775193,11.4588,1.14108,2.75027,1.23574,13.2573,28.3207,26.4498,2.87446,17.8533,7.3302,26.6067,26.9192,24.9648,-12.8078
1693503883132959802,11.7428,0.95176,2.56095,1.14108,13.1627,28.7688,26.8986,2.11603,16.1469,7.2354,26.4799,27.4953,24.8378,-12.6182
1693503883202064413,11.7428,0.95176,2.56095,1.14108,13.1627,28.7688,26.8986,2.11603,16.1469,7.2354,26.4799,27.4953,24.8378,-12.6182
1693503883271248786,11.6482,0.95176,4.17014,1.04642,13.352,29.3621,26.3232,4.58091,16.0521,6.95099,26.3044,27.2418,24.662,-12.9342
1693503883340444159,11.5535,0.762443,2.56095,1.14108,13.352,28.0385,26.4012,2.87446,16.1469,5.90816,26.9192,27.9341,24.5735,-12.9974
1693503883409629781,11.5535,0.762443,2.56095,1.14108,13.352,28.0385,26.4012,2.87446,16.1469,5.90816,26.9192,27.9341,24.5735,-12.9974
1693503883478814099,13.2573,1.04642,2.46629,1.23574,13.4467,28.5544,26.2157,2.96926,16.3365,9.32107,26.7438,26.9,24.789,-12.2391
1693503883547998435,11.6482,1.04642,3.60219,1.04642,13.352,28.788,26.2157,2.96926,16.9053,5.81335,26.6362,27.183,24.3681,-12.9342
1693503883617181243,11.6482,1.04642,2.46629,1.14108,11.7428,28.4573,25.7281,4.77052,17.6637,7.2354,26.8219,27.2905,24.8673,-12.6814
1693503883686363975,11.6482,1.04642,2.46629,1.14108,11.7428,28.4573,25.7281,4.77052,17.6637,7.2354,26.8219,27.2905,24.8673,-12.6814
1693503883755547465,11.3642,0.95176,2.65561,1.33039,13.2573,28.973,25.152,2.02123,16.1469,4.2017,26.5581,27.3391,24.603,-13.2501
1693503883824698421,13.1627,0.857102,2.56095,1.14108,13.2573,29.2358,25.3377,3.25367,16.4313,7.2354,27.0754,27.3097,25.043,-12.8078
1693503883893882070,13.1627,0.857102,2.56095,1.14108,13.2573,29.2358,25.3377,3.25367,16.4313,7.2354,27.0754,27.3097,25.043,-12.8078
1693503883963066031,11.9321,1.14108,2.56095,1.04642,13.068,29.0023,26.1965,4.48611,18.0429,4.67572,26.5581,27.1049,24.4464,-13.3765
1693503884032244626,11.7428,0.762443,2.65561,1.14108,12.9734,27.8533,26.2157,1.35761,17.9481,6.28737,26.5581,27.8075,24.5247,-12.6814
1693503884101421187,11.7428,0.762443,2.65561,1.14108,12.9734,27.8533,26.2157,1.35761,17.9481,6.28737,26.5581,27.8075,24.5247,-12.6814
1693503884170601978,11.5535,0.95176,4.07549,1.23574,13.068,28.9437,25.435,4.48611,18.0429,5.81335,26.5581,27.4953,24.5247,-13.2501
1693503884239673625,11.8375,1.04642,2.46629,0.95176,12.9734,28.428,25.8548,2.87446,19.465,7.3302,26.5094,27.5247,24.6325,-12.9342
1693503884308777215,11.8375,1.04642,2.46629,0.95176,12.9734,28.428,25.8548,2.87446,19.465,7.3302,26.5094,27.5247,24.6325,-12.9342
1693503884377881564,11.7428,1.04642,2.56095,1.14108,12.8787,28.6131,26.0404,2.87446,16.1469,5.52894,26.7438,27.1343,24.4759,-12.6182
