elapsed,p10,p21,p31,p22,p32,t1,t2,p20,p30,pINJ,inj1,inj2,ign,lc
1693509420484833770,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693509420554017017,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693509420623190068,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693509420692363237,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693509420761536629,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693509420830710364,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693509420899884577,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693509420969055716,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693509421038132035,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693509421107322860,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693509421176510297,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693509421245690965,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693509421314869606,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693509421384057969,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693509421453235492,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693509421522411735,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693509421591593546,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693509421660767364,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693509421729940943,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693509421799113890,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693509421868287386,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693509421937414263,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693509422006618788,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693509422075714874,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693509422144816569,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693509422213920956,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693509422282996136,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693509422352105941,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693509422421220106,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693509422490328373,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693509422559438642,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693509422628622751,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693509422697774453,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693509422766955135,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693509422836131967,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693509422905308258,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693509422974482731,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693509423043562904,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693509423112765183,0,0,0,0,0,0,0,0,0,0,0,0,0,0
