elapsed,p10,p21,p31,p22,p32,t1,t2,p20,p30,pINJ,inj1,inj2,ign,lc
1693500362213976714,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693500362283161159,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693500362352333793,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693500362421507662,14.6772,1.04642,3.03424,1.14108,14.7719,26.832,24.255,1.45241,15.4833,8.46784,27.8945,28.2066,-273,12.9135
1693500362490684041,14.7719,0.95176,5.77934,1.14108,14.7719,26.2372,24.5971,1.26281,14.0612,7.04579,28.626,28.0799,-273,3.05394
1693500362559859242,14.7719,0.95176,5.77934,1.14108,14.7719,26.2372,24.5971,1.26281,14.0612,7.04579,28.626,28.0799,-273,3.05394
1693500362629034759,14.9612,1.04642,2.46629,1.33039,15.0559,26.92,23.7959,1.54722,16.4313,8.75225,28.1771,28.0991,-273,-4.78237
1693500362698210288,12.8787,0.95176,2.46629,1.14108,14.9612,26.832,25.1147,1.168,16.0521,8.56264,27.9725,28.2066,-273,-7.8156
1693500362767386873,12.8787,0.95176,2.46629,1.14108,14.9612,26.832,25.1147,1.168,16.0521,8.56264,27.9725,28.2066,-273,-7.8156
1693500362836562417,15.0559,0.95176,2.65561,1.23574,14.6772,26.4713,24.5971,1.26281,16.3365,7.80422,27.8945,28.0505,-273,-9.33221
1693500362905655814,13.1627,0.95176,2.56095,1.14108,12.5947,26.7053,24.2844,1.64202,17.9481,6.95099,28.392,28.392,-273,-9.3954
1693500362974835605,13.068,0.95176,2.08766,1.33039,14.9612,26.8026,24.4601,1.26281,16.2417,7.99382,27.7678,27.9239,-273,-9.71137
1693500363044015584,13.068,0.95176,2.08766,1.33039,14.9612,26.8026,24.4601,1.26281,16.2417,7.99382,27.7678,27.9239,-273,-9.71137
1693500363113190458,14.5826,0.95176,1.23574,1.23574,14.9612,26.2666,24.7047,2.96926,17.9481,7.3302,28.0313,28.5774,-273,-9.90094
1693500363182367026,13.068,0.857102,2.37164,1.14108,15.0559,26.52,24.255,1.35761,16.4313,8.75225,28.4406,28.6745,-273,-9.71137
1693500363251542757,13.068,0.857102,2.37164,1.14108,15.0559,26.52,24.255,1.35761,16.4313,8.75225,28.4406,28.6745,-273,-9.71137
1693500363320718987,13.068,0.95176,2.27698,1.14108,14.8665,26.3345,23.9128,1.54722,16.3365,8.94185,27.9725,27.5823,-273,-9.77456
1693500363389897360,13.1627,0.95176,3.31822,1.14108,14.5826,26.7347,24.2357,1.35761,17.8533,8.46784,28.2552,27.787,-273,-9.90094
1693500363459073248,13.1627,0.95176,3.31822,1.14108,14.5826,26.7347,24.2357,1.35761,17.8533,8.46784,28.2552,27.787,-273,-9.90094
1693500363528253046,12.3108,1.04642,2.65561,1.33039,14.4879,26.7833,24.0499,1.26281,16.3365,7.70941,28.3626,28.6745,-273,-10.4065
1693500363597428440,12.8787,1.04642,2.56095,1.14108,14.6772,26.6273,24.4408,2.77966,16.5261,8.65745,28.0991,28.8011,-273,-10.0905
1693500363666604216,12.8787,1.04642,2.56095,1.14108,14.6772,26.6273,24.4408,2.77966,16.5261,8.65745,28.0991,28.8011,-273,-10.0905
1693500363735779918,13.1627,2.27698,3.79151,1.23574,13.92,26.598,24.255,1.26281,16.3365,8.94185,28.5186,28.4406,-273,-9.90094
1693500363804957804,12.7841,0.95176,2.46629,1.33039,14.6772,27.4365,24.392,1.35761,16.3365,10.5535,28.3332,28.5671,-273,-9.71137
