elapsed,p10,p21,p31,p22,p32,t1,t2,p20,p30,pINJ,inj1,inj2,ign,lc
1693502789548610064,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693502789617793310,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693502789686967368,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1693502789756148562,13.068,1.04642,2.46629,0.95176,13.068,27.9098,25.4135,1.26281,16.0521,6.95099,27.4825,28.3409,25.6073,39.9639
1693502789825324969,12.9734,0.95176,2.46629,1.14108,13.068,27.7539,25.6478,3.91729,18.0429,8.75225,27.8728,27.7948,25.6073,29.2828
1693502789894500260,12.9734,0.95176,2.46629,1.14108,13.068,27.7539,25.6478,3.91729,18.0429,8.75225,27.8728,27.7948,25.6073,29.2828
1693502789963679874,13.1627,1.04642,2.37164,1.14108,13.8253,28.3478,25.2279,4.2965,16.4313,7.51981,26.9846,28.3115,26.047,18.412
1693502790032856682,11.2695,0.95176,2.46629,1.33039,13.5413,27.676,25.4135,4.48611,17.9481,5.71855,27.4825,28.9647,25.8419,8.11011
1693502790102032559,11.2695,0.95176,2.46629,1.33039,13.5413,27.676,25.4135,4.48611,17.9481,5.71855,27.4825,28.9647,25.8419,8.11011
1693502790171210027,14.9612,0.857102,2.46629,1.04642,14.7719,28.3478,25.9307,4.58091,16.4313,8.18343,27.8728,28.0289,25.2162,0.905073
1693502790240387215,11.5535,1.23574,1.14108,1.14108,12.9734,28.5036,25.5403,4.67572,16.6209,6.85619,26.7016,28.1849,26.3109,-3.89768
1693502790309568412,11.4588,1.04642,1.89834,1.23574,12.8787,28.815,25.3841,4.39131,17.0949,7.42501,27.4825,28.1849,25.7637,-6.42537
1693502790378748251,11.4588,1.04642,1.89834,1.23574,12.8787,28.815,25.3841,4.39131,17.0949,7.42501,27.4825,28.1849,25.7637,-6.42537
1693502790447872550,11.3642,1.04642,2.56095,1.04642,13.068,28.3185,25.8232,2.87446,16.4313,5.81335,27.3558,28.1363,25.4804,-8.44752
1693502790517054479,11.6482,0.762443,0.95176,1.14108,13.1627,28.5036,25.6184,2.87446,17.8533,7.42501,27.014,28.1069,25.2945,-8.57391
1693502790586238681,11.6482,0.762443,0.95176,1.14108,13.1627,28.5036,25.6184,2.87446,17.8533,7.42501,27.014,28.1069,25.2945,-8.57391
1693502790655415288,12.0268,0.857102,2.08766,1.23574,14.5826,28.4551,26.1162,4.67572,17.8533,8.94185,27.4339,27.7461,25.8714,-8.57391
1693502790724591407,14.7719,0.95176,0.95176,1.14108,12.9734,27.9583,25.5403,4.2017,17.7585,5.71855,27.2483,28.4189,26.1546,-9.83775
1693502790793771870,14.7719,0.95176,0.95176,1.14108,12.9734,27.9583,25.5403,4.2017,17.7585,5.71855,27.2483,28.4189,26.1546,-9.83775
1693502790862961799,11.6482,0.95176,2.56095,1.04642,13.2573,27.929,25.5889,2.87446,19.465,7.61461,26.8771,28.5161,25.5484,-9.77456
1693502790932027601,11.8375,0.857102,2.56095,1.23574,13.2573,28.0171,25.5991,4.2017,18.1378,5.71855,27.014,27.7948,25.6073,-10.2801
1693502791001204497,11.8375,0.857102,2.56095,1.23574,13.2573,28.0171,25.5991,4.2017,18.1378,5.71855,27.014,27.7948,25.6073,-10.2801
1693502791070380965,11.4588,0.857102,2.46629,0.95176,13.068,27.9877,25.1792,4.67572,17.2845,8.75225,27.4825,28.1069,26.2328,-9.64817
1693502791139557345,12.8787,1.14108,2.46629,1.14108,13.4467,28.0848,25.4328,3.91729,17.9481,6.09776,27.6092,28.7794,25.7342,-10.7856
1693502791208622471,11.8375,0.95176,2.27698,1.14108,14.9612,28.0848,26.2915,2.87446,14.63,8.27823,27.8728,28.1069,26.2328,-10.0905
