time(unix),tc,p1,p2,p3

1674179576,30.916758,25.264535,118.675095,

1674179576,30.920460,25.287675,104.498712,

1674179577,30.950698,25.239235,97.624661,

1674179577,30.969828,25.262684,98.288339,

1674179578,30.977541,25.229051,99.531771,

1674179578,30.942057,25.201900,99.337078,

1674179579,30.973839,25.230594,98.288024,

1674179579,30.912130,25.201900,75.762440,

1674179580,30.959645,25.204677,98.869635,

1674179580,30.992660,25.179068,84.559969,

1674179581,30.973222,25.219179,97.949558,

1674179581,30.961496,25.167342,96.494460,

1674179582,30.918917,25.142351,98.877971,

1674179583,30.891458,25.131245,102.483924,

1674179583,30.961804,25.148212,81.219047,

1674179584,30.938355,25.128157,103.337667,

1674179584,30.957485,25.144510,94.984134,

1674179585,30.901333,25.118593,97.223860,

1674179585,30.932185,25.113657,99.207181,

1674179586,30.938972,25.075089,80.150866,

1674179586,30.965201,25.105017,83.220884,

1674179587,30.902567,25.097304,92.885416,

1674179587,30.867700,25.083727,82.850322,

