elapsed,p10,p21,p31,p22,p32,t1,t2,p20,p30,pINJ,inj1,inj2,ign,lc
1698530995341180958,30.9585,7.00989,0.857102,1.51971,13.2573,26.6222,25.6074,2861.85,2576.11,1895.9,-273,-273,-273,290.876
1698530995410255114,30.9585,7.00989,0.857102,1.51971,13.2573,26.6222,25.6074,2861.85,2576.11,1895.9,-273,-273,-273,290.876
1698530995479450848,32.3783,7.10455,1.04642,1.33039,12.8787,26.9342,25.5293,2853.13,2569.48,1892.3,-273,-273,-273,290.118
1698530995548636853,32.2837,6.63126,0.762443,1.80369,14.6772,26.4954,25.5586,2859.67,2574.69,1893.91,-273,-273,-273,289.865
1698530995617817780,32.2837,6.63126,0.762443,1.80369,14.6772,26.4954,25.5586,2859.67,2574.69,1893.91,-273,-273,-273,289.865
1698530995687007916,32.3783,8.24045,0.95176,1.33039,14.6772,26.1246,25.5,2854.17,2569.67,1891.26,-273,-273,-273,289.422
1698530995756198441,29.7279,5.4007,0.762443,1.51971,13.5413,26.4661,25.2169,2862.13,2576.68,1894.95,-273,-273,-273,289.486
1698530995825297940,29.7279,5.4007,0.762443,1.51971,13.5413,26.4661,25.2169,2862.13,2576.68,1894.95,-273,-273,-273,289.486
1698530995894372881,30.8638,5.4007,0.857102,1.51971,14.1093,26.3393,26.0271,2856.83,2572.13,1892.77,-273,-273,-273,289.549
1698530995963559370,30.7691,5.4007,0.95176,1.14108,13.352,26.2613,25.3243,2858.53,2573.84,1893.44,-273,-273,-273,289.612
1698530996032743158,30.9585,5.49536,0.95176,1.51971,13.2573,27.5094,26.0271,2858.72,2573.93,1893.72,-273,-273,-273,289.549
1698530996101926136,30.9585,5.49536,0.95176,1.51971,13.2573,27.5094,26.0271,2858.72,2573.93,1893.72,-273,-273,-273,289.549
1698530996171118688,27.6454,5.59002,0.762443,1.89834,14.9612,26.7295,26.0271,2860.14,2574.69,1895.62,-273,-273,-273,290.37
1698530996240313179,29.7279,7.00989,0.95176,1.80369,15.0559,26.4661,26.1539,2859.1,2573.93,1894.2,-273,-273,-273,289.991
1698530996309496175,29.7279,7.00989,0.95176,1.80369,15.0559,26.4661,26.1539,2859.1,2573.93,1894.2,-273,-273,-273,289.991
1698530996378679740,28.9706,8.52443,0.857102,1.51971,14.7719,26.4954,25.5586,2852.37,2568.81,1891.16,-273,-273,-273,288.917
1698530996447857098,28.1187,8.61909,0.95176,1.51971,14.3932,26.8075,25.5586,2862.99,2577.44,1895.71,-273,-273,-273,289.865
1698530996517033008,28.1187,8.61909,0.95176,1.51971,14.3932,26.8075,25.5586,2862.99,2577.44,1895.71,-273,-273,-273,289.865
1698530996586214358,30.9585,6.25263,0.95176,1.51971,14.7719,26.9635,26.4954,2857.77,2570.62,1892.39,-273,-273,-273,289.549
1698530996655389875,30.6745,7.19921,0.95176,1.42505,13.068,26.2026,26.0465,2863.18,2577.63,1895.71,-273,-273,-273,290.118
1698530996724486678,30.6745,7.19921,0.95176,1.42505,13.068,26.2026,26.0465,2863.18,2577.63,1895.71,-273,-273,-273,290.118
1698530996793662721,30.1065,6.91524,0.857102,2.08766,14.8665,26.7782,26.1539,2859.1,2574.31,1894.01,-273,-273,-273,290.054
1698530996862838890,24.995,6.06331,1.42505,1.33039,13.352,25.9977,25.9977,2862.42,2576.49,1895.05,-273,-273,-273,290.181
1698530996932054788,24.995,6.06331,1.42505,1.33039,13.352,25.9977,25.9977,2862.42,2576.49,1895.05,-273,-273,-273,290.181
1698530997001230824,27.4561,6.82058,0.95176,1.23574,14.9612,26.554,25.8515,2859.57,2574.6,1894.29,-273,-273,-273,289.675
1698530997070408210,29.4439,8.52443,1.04642,1.23574,13.636,27.0122,26.0758,2862.23,2576.21,1896.28,-273,-273,-273,291.066
1698530997139586810,27.6454,7.57784,0.95176,1.14108,14.7719,26.2807,26.1246,2862.32,2576.4,1895.62,-273,-273,-273,290.876
1698530997208762403,27.6454,7.57784,0.95176,1.14108,14.7719,26.2807,26.1246,2862.32,2576.4,1895.62,-273,-273,-273,290.876
1698530997277942888,31.2424,8.90306,0.95176,1.51971,12.9734,25.8123,25.8123,2852.56,2569.29,1892.11,-273,-273,-273,289.865
1698530997347121372,28.7813,8.71374,1.04642,1.61437,14.4879,26.6709,25.1875,2863.56,2577.16,1895.24,-273,-273,-273,290.434
1698530997416296384,28.7813,8.71374,1.04642,1.61437,14.4879,26.6709,25.1875,2863.56,2577.16,1895.24,-273,-273,-273,290.434
1698530997485475019,29.0653,6.82058,0.667785,1.51971,14.6772,25.8904,25.8123,2855.4,2570.43,1891.26,-273,-273,-273,289.296
