time(unix),tc,p1,p2,p3
1674179667,30.803832,24.732912,110.541866,
1674179667,30.761253,24.691876,91.301970,
1674179668,30.786861,24.725508,98.549365,
1674179668,30.843943,24.720264,95.999247,
1674179669,30.872945,24.760683,91.524736,
1674179669,30.821419,24.690951,96.670329,
1674179670,30.774827,24.690025,101.888122,
1674179670,30.756005,24.670895,98.705175,
1674179671,30.803215,24.643127,101.485779,
1674179671,30.811544,24.690334,92.250435,
1674179672,30.819568,24.689408,93.237776,
1674179672,30.772050,24.692493,87.626895,
1674179673,30.790255,24.656393,90.397318,
1674179673,30.761253,24.630476,96.264284,
1674179674,30.829132,24.649914,92.488324,
