elapsed,p10,p21,p31,p22,p32,t1,t2,p20,p30,pINJ,inj1,inj2,ign,lc
1698525236388227962,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1698525236457299320,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1698525236526477249,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1698525236595650094,227.753,-0.278756,-0.0894681,-0.184112,-0.184112,24.2102,24.4447,2059.82,1837.69,861.316,-273,24.7236,-273,-108.354
1698525236664827023,160.356,-0.751976,-0.0894681,0.00517663,-0.0894681,25.148,24.3665,2464.91,2172.16,1230.67,-273,24.9584,-273,-44.3407
1698525236734001196,160.356,-0.751976,-0.0894681,0.00517663,-0.0894681,25.148,24.3665,2464.91,2172.16,1230.67,-273,24.9584,-273,-44.3407
1698525236803177070,119.18,0.00517663,-0.0894681,-0.0894681,-0.0894681,24.9136,24.2102,2498.09,2208.37,1307.46,-273,24.8801,-273,-7.56283
1698525236872352866,92.0131,0.289152,-0.184112,-0.184112,-0.184112,25.1187,24.3372,2504.35,2213.49,1323.67,-273,25.2713,-273,6.34045
1698525236941529022,92.0131,0.289152,-0.184112,-0.184112,-0.184112,25.1187,24.3372,2504.35,2213.49,1323.67,-273,25.2713,-273,6.34045
1698525237010705269,73.8387,0.573127,-0.184112,-0.184112,-0.184112,25.3042,25.0699,2501.79,2212.16,1327.08,-273,24.6454,-273,11.5862
1698525237079882259,61.0598,0.667785,-0.184112,-0.184112,-0.184112,25.148,23.5063,2500.75,2211.41,1330.97,-273,25.1931,-273,14.3671
1698525237149057159,51.594,-0.3734,-0.0894681,-0.184112,0.00517663,25.0211,23.7703,2502.83,2211.6,1330.59,-273,24.5671,-273,14.4303
1698525237218234702,51.594,-0.3734,-0.0894681,-0.184112,0.00517663,25.0211,23.7703,2502.83,2211.6,1330.59,-273,24.5671,-273,14.4303
1698525237287414246,44.3053,0.194493,-0.0894681,-0.184112,-0.184112,25.2554,24.5522,2502.36,2213.49,1331.07,-273,24.5671,-273,15.0623
1698525237356590326,39.0044,0.573127,-0.278756,-0.184112,-0.0894681,24.8355,25.148,2504.25,2214.63,1331.35,-273,25.3007,-273,14.9991
1698525237425742991,39.0044,0.573127,-0.278756,-0.184112,-0.0894681,24.8355,25.148,2504.25,2214.63,1331.35,-273,25.3007,-273,14.9991
1698525237494919476,35.0288,0.38381,-0.184112,-0.184112,-0.0894681,25.4897,24.3959,2507.95,2217.66,1333.15,-273,24.2539,-273,14.8727
1698525237564099695,31.3371,-0.657332,-0.184112,-0.0894681,-0.0894681,24.9917,24.4447,2503.68,2213.97,1331.07,-273,25.3202,-273,14.8727
1698525237633275819,31.3371,-0.657332,-0.184112,-0.0894681,-0.0894681,24.9917,24.4447,2503.68,2213.97,1331.07,-273,25.3202,-273,14.8727
