time(unix),tc,p1,p2,p3
1674179634,30.818331,24.975120,110.157416,

1674179635,30.835919,24.975429,111.595856,

1674179635,30.905035,24.990240,89.201709,

1674179636,30.950081,24.951054,92.648453,

1674179636,30.898862,24.974503,93.397294,

1674179637,30.853815,24.929148,92.508068,

1674179637,30.837770,24.963394,99.218288,

1674179638,30.851964,24.922666,93.746872,

1674179638,30.864924,24.912177,93.423517,

1674179639,30.908737,24.941488,108.971994,

1674179639,30.957485,24.912794,86.952728,

1674179640,30.926015,24.936860,95.649355,

