elapsed,p10,p21,p31,p22,p32,t1,t2,p20,p30,pINJ,inj1,inj2,ign,lc
1697735775367926453,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697735775437098772,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697735775506269135,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697735775575345846,1696.95,6.63126,0.95176,1.23574,18.3689,23.7988,23.4859,2909.73,2890.39,1984.83,-273,-273,-273,290.56
1697735775644564315,1164.68,7.10455,1.04642,1.14108,16.4757,24.4245,24.1117,2908.49,2896.55,2111.96,-273,-273,-273,361.536
1697735775713739130,1164.68,7.10455,1.04642,1.14108,16.4757,24.4245,24.1117,2908.49,2896.55,2111.96,-273,-273,-273,361.536
1697735775782915097,832.999,6.82058,0.857102,1.14108,14.8665,23.8477,24.2388,2910.67,2897.69,2138.79,-273,-273,-273,384.162
1697735775852090003,611.687,8.42977,0.857102,1.33039,16.3811,24.7372,24.2681,2909.73,2897.78,2143.15,-273,-273,-273,391.999
1697735775921269730,611.687,8.42977,0.857102,1.33039,16.3811,24.7372,24.2681,2909.73,2897.78,2143.15,-273,-273,-273,391.999
1697735775990445905,466.671,8.61909,1.04642,1.33039,16.4757,24.6298,23.926,2911.34,2896.83,2143.81,-273,-273,-273,395.033
1697735776059622827,362.641,5.49536,0.762443,1.23574,16.665,24.4734,24.1606,2910.96,2898.16,2144.95,-273,-273,-273,396.866
1697735776128799337,293.067,8.42977,0.762443,1.23574,14.9612,24.7861,24.6298,2902.24,2888.49,2138.6,-273,-273,-273,395.665
1697735776197975391,293.067,8.42977,0.762443,1.23574,14.9612,24.7861,24.6298,2902.24,2888.49,2138.6,-273,-273,-273,395.665
1697735776267150213,237.598,8.42977,0.857102,1.33039,16.1918,24.7861,25.0205,2911.05,2898.92,2143.91,-273,-273,-273,396.992
1697735776336329873,196.989,8.24045,0.857102,1.33039,16.5704,24.3952,24.1606,2905.46,2894.18,2141.92,-273,-273,-273,397.055
1697735776405504846,196.989,8.24045,0.857102,1.33039,16.5704,24.3952,24.1606,2905.46,2894.18,2141.92,-273,-273,-273,397.055
1697735776474680448,167.55,8.42977,0.95176,1.33039,17.3277,25.0205,23.8477,2911.15,2898.73,2144.76,-273,-273,-273,397.687
1697735776543860578,145.211,7.10455,0.95176,1.42505,14.7719,24.3463,23.7988,2908.97,2896.64,2144.1,-273,-273,-273,397.814
1697735776613036433,145.211,7.10455,0.95176,1.42505,14.7719,24.3463,23.7988,2908.97,2896.64,2144.1,-273,-273,-273,397.814
1697735776682208920,123.25,8.52443,0.95176,1.33039,16.4757,24.1899,24.1117,2911.62,2898.44,2145.23,-273,-273,-273,398.004
1697735776751385905,110.755,6.91524,0.95176,1.33039,16.4757,24.835,23.5837,2910.58,2897.5,2144.29,-273,-273,-273,397.751
1697735776820558104,110.755,6.91524,0.95176,1.33039,16.4757,24.835,23.5837,2910.58,2897.5,2144.29,-273,-273,-273,397.751
