elapsed,p10,p21,p31,p22,p32,t1,t2,p20,p30,pINJ,inj1,inj2,ign,lc
1697736538860197540,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736538929324255,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736538998478983,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736539067683596,255.961,6.72592,0.95176,1.33039,14.9612,25.0399,24.4927,2922.05,2741.64,1651.69,-273,-273,-273,96.3402
1697736539136855439,181.56,6.82058,0.95176,1.23574,16.3811,24.9129,24.2875,2924.04,2760.6,1947.57,-273,-273,-273,245.244
1697736539206032619,181.56,6.82058,0.95176,1.23574,16.3811,24.9129,24.2875,2924.04,2760.6,1947.57,-273,-273,-273,245.244
1697736539275204608,136.597,6.82058,0.857102,1.23574,14.9612,24.5221,24.1311,2923.19,2762.78,2017.44,-273,-273,-273,302.758
1697736539344379449,113.406,8.1458,0.667785,1.23574,16.1918,25.3817,24.6784,2925.56,2764.11,2034.5,-273,-273,-273,324.057
1697736539413552398,113.406,8.1458,0.667785,1.23574,16.1918,25.3817,24.6784,2925.56,2764.11,2034.5,-273,-273,-273,324.057
1697736539482724491,90.5932,6.82058,0.762443,1.23574,15.1505,25.3036,24.2093,2924.33,2765.06,2038.77,-273,-273,-273,331.199
1697736539551899186,74.6906,5.30604,0.95176,1.14108,16.0024,25.0106,23.916,2913.99,2757.85,2036.4,-273,-273,-273,332.779
1697736539621072193,69.5791,4.92741,0.95176,1.14108,16.2864,24.6491,24.1018,2924.14,2764.87,2040.19,-273,-273,-273,334.422
1697736539690165745,69.5791,4.92741,0.95176,1.14108,16.2864,24.6491,24.1018,2924.14,2764.87,2040.19,-273,-273,-273,334.422
1697736539759342302,61.0598,5.77934,0.95176,1.23574,14.5826,25.5868,24.18,2920.15,2760.89,2037.54,-273,-273,-273,334.485
1697736539828518710,53.2032,8.33511,0.95176,1.33039,16.8544,24.7273,24.18,2924.04,2764.11,2040.38,-273,-273,-273,335.181
1697736539897693789,53.2032,8.33511,0.95176,1.33039,16.8544,24.7273,24.18,2924.04,2764.11,2040.38,-273,-273,-273,335.181
1697736539966869518,51.4993,8.1458,1.04642,1.23574,16.5704,24.3657,24.2093,2923.19,2762.4,2040.19,-273,-273,-273,335.117
1697736540036041098,47.8076,8.42977,0.95176,1.14108,14.9612,24.991,24.0529,2924.8,2764.87,2041.24,-273,-273,-273,336.129
1697736540105217538,47.8076,8.42977,0.95176,1.14108,14.9612,24.991,24.0529,2924.8,2764.87,2041.24,-273,-273,-273,336.129
1697736540174391405,44.116,8.52443,0.95176,1.42505,14.4879,24.6784,24.3657,2923.76,2763.73,2040.76,-273,-273,-273,336.066
1697736540243566565,39.7617,8.71374,1.14108,1.42505,16.4757,25.1766,23.8476,2924.04,2763.44,2043.23,-273,-273,-273,336.761
1697736540312743822,39.7617,8.71374,1.14108,1.42505,16.4757,25.1766,23.8476,2924.04,2763.44,2043.23,-273,-273,-273,336.761
1697736540381918842,41.0869,8.52443,0.95176,1.33039,14.7719,25.4598,24.0529,2924.7,2764.68,2042.18,-273,-273,-273,336.508
