elapsed,p10,p21,p31,p22,p32,t1,t2,p20,p30,pINJ,inj1,inj2,ign,lc
1697736117784405905,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736117853583463,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736117922760182,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736117991937110,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736118061107691,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736118130277078,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736118199453320,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736118268633752,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736118337807655,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736118406982286,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736118476158585,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736118545332509,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736118614507894,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736118683570688,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736118752749406,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736118821925727,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736118891099409,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736118960274479,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736119029451489,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736119098547162,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736119167728011,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736119236901173,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736119306075962,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736119375257761,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736119444430871,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736119513605047,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736119582782131,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736119651955469,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736119721131487,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736119790304470,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736119859482496,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736119928658412,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736119997832325,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736120067007969,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736120136144758,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736120205321758,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736120274496973,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736120343670702,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736120412842360,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736120482022120,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736120551195657,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736120620370335,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736120689432183,0,0,0,0,0,0,0,0,0,0,0,0,0,0
