elapsed,p10,p21,p31,p22,p32,t1,t2,p20,p30,pINJ,inj1,inj2,ign,lc
1697736784004183703,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736784073361877,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736784142535080,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1697736784211709455,297.327,8.71374,0.95176,1.51971,14.6772,25.4891,24.395,2954.66,2742.78,1511.95,-273,2.60255e+128,-273,28.3348
1697736784280887111,208.064,8.52443,0.857102,1.42505,14.9612,24.6589,24.2679,2953.9,2762.59,1908.51,-273,2.60255e+128,-273,205.048
1697736784350064192,208.064,8.52443,0.857102,1.42505,14.9612,24.6589,24.2679,2953.9,2762.59,1908.51,-273,2.60255e+128,-273,205.048
1697736784419241269,154.109,6.91524,0.95176,1.33039,14.7719,24.8347,24.991,2955.04,2771.03,2009.95,-273,2.60255e+128,-273,287.463
1697736784488418867,122.209,7.38853,1.04642,1.42505,14.7719,24.737,24.6589,2954.95,2767.81,2031.19,-273,2.60255e+128,-273,314.261
1697736784557595612,122.209,7.38853,1.04642,1.42505,14.7719,24.737,24.6589,2954.95,2767.81,2031.19,-273,2.60255e+128,-273,314.261
1697736784626772024,97.5033,6.91524,1.14108,1.51971,14.8665,24.864,23.9258,2945.85,2761.17,2032.23,-273,2.60255e+128,-273,322.919
1697736784695936596,79.9915,6.91524,0.857102,1.42505,15.0559,24.991,24.3657,2941.01,2757.85,2030.81,-273,2.60255e+128,-273,325.827
1697736784765115862,68.1592,7.00989,0.95176,1.42505,16.4757,24.9129,23.8183,2936.18,2753.68,2029.01,-273,2.60255e+128,-273,326.522
1697736784834293659,68.1592,7.00989,0.95176,1.42505,16.4757,24.9129,23.8183,2936.18,2753.68,2029.01,-273,2.60255e+128,-273,326.522
1697736784903469400,60.4919,6.82058,0.95176,1.42505,15.0559,24.3657,24.2093,2941.3,2757,2031.85,-273,2.60255e+128,-273,327.344
1697736784972650074,54.5284,6.63126,0.95176,1.33039,16.2864,24.9422,24.0822,2939.59,2755.77,2031.28,-273,2.60255e+128,-273,328.039
1697736785041827089,54.5284,6.63126,0.95176,1.33039,16.2864,24.9422,24.0822,2939.59,2755.77,2031.28,-273,2.60255e+128,-273,328.039
1697736785111003097,46.7664,6.34729,1.61437,1.33039,14.6772,25.0203,24.395,2941.39,2757.28,2033.75,-273,2.60255e+128,-273,328.481
1697736785180179493,42.6014,6.72592,1.04642,1.33039,14.5826,24.8933,24.6589,2940.25,2756.81,2033.18,-273,2.60255e+128,-273,328.797
1697736785249359450,42.6014,6.72592,1.04642,1.33039,14.5826,24.8933,24.6589,2940.25,2756.81,2033.18,-273,2.60255e+128,-273,328.797
1697736785318535586,43.548,7.76716,1.04642,1.51971,14.9612,24.8933,24.0334,2941.86,2756.81,2034.22,-273,2.60255e+128,-273,329.24
1697736785387712520,38.7204,7.19921,0.95176,1.42505,15.0559,24.9129,24.6784,2940.92,2757.19,2034.12,-273,2.60255e+128,-273,329.619
1697736785456892713,38.7204,7.19921,0.95176,1.42505,15.0559,24.9129,24.6784,2940.92,2757.19,2034.12,-273,2.60255e+128,-273,329.619
1697736785526069642,34.9341,6.91524,1.04642,1.70903,14.8665,24.8152,24.5025,2931.72,2755.77,2034.12,-273,2.60255e+128,-273,330.251
1697736785595246538,33.7035,8.42977,1.04642,1.42505,14.5826,24.7566,25.0692,2941.3,2757.66,2032.7,-273,2.60255e+128,-273,329.24
1697736785664422658,36.9219,6.82058,0.95176,1.42505,14.8665,24.737,25.0496,2937.12,2754.91,2031.94,-273,2.60255e+128,-273,328.797
1697736785733598332,36.9219,6.82058,0.95176,1.42505,14.8665,24.737,25.0496,2937.12,2754.91,2031.94,-273,2.60255e+128,-273,328.797
1697736785802776907,32.5677,5.21139,0.95176,1.23574,14.8665,24.8347,24.6784,2941.86,2758.04,2033.37,-273,2.60255e+128,-273,329.303
1697736785871843983,30.5798,7.38853,0.762443,1.33039,15.8131,24.6295,25.0203,2939.21,2756.15,2032.8,-273,2.60255e+128,-273,329.303
1697736785941021094,30.5798,7.38853,0.762443,1.33039,15.8131,24.6295,25.0203,2939.21,2756.15,2032.8,-273,2.60255e+128,-273,329.303
1697736786010201640,33.4196,6.91524,1.04642,1.33039,14.9612,24.864,24.0822,2942.15,2758.8,2035.45,-273,2.60255e+128,-273,329.998
1697736786079377982,31.6211,6.72592,1.14108,1.23574,14.5826,24.2093,24.8347,2941.11,2757.28,2033.65,-273,2.60255e+128,-273,329.619
1697736786148555126,31.6211,6.72592,1.14108,1.23574,14.5826,24.2093,24.8347,2941.11,2757.28,2033.65,-273,2.60255e+128,-273,329.619
1697736786217734118,29.9172,6.63126,1.04642,1.23574,15.0559,24.6784,24.8347,2941.58,2757.47,2035.64,-273,2.60255e+128,-273,331.073
1697736786286909814,31.5264,5.96865,0.95176,1.23574,15.2452,24.6295,24.1604,2941.77,2757.85,2035.83,-273,2.60255e+128,-273,330.82
1697736786356086544,31.5264,5.96865,0.95176,1.23574,15.2452,24.6295,24.1604,2941.77,2757.85,2035.83,-273,2.60255e+128,-273,330.82
1697736786425263826,28.592,8.42977,0.857102,1.14108,12.8787,25.2255,24.6784,2941.58,2758.52,2034.88,-273,2.60255e+128,-273,329.998
1697736786494442003,26.3202,8.33511,1.14108,1.33039,16.3811,24.3657,24.7566,2936.56,2758.61,2035.45,-273,2.60255e+128,-273,330.567
1697736786563576972,26.3202,8.33511,1.14108,1.33039,16.3811,24.3657,24.7566,2936.56,2758.61,2035.45,-273,2.60255e+128,-273,330.567
1697736786632667003,29.3493,8.61909,1.14108,1.23574,16.665,24.991,24.2875,2941.86,2757.85,2034.6,-273,2.60255e+128,-273,329.998
1697736786701797190,27.5508,8.90306,1.04642,1.33039,15.7185,25.0692,24.2875,2939.59,2756.71,2034.03,-273,2.60255e+128,-273,329.808
1697736786771022381,26.8881,8.52443,1.04642,1.42505,16.4757,24.395,24.395,2941.58,2757.85,2035.17,-273,2.60255e+128,-273,330.63
1697736786840198419,26.8881,8.52443,1.04642,1.42505,16.4757,24.395,24.395,2941.58,2757.85,2035.17,-273,2.60255e+128,-273,330.63
1697736786909375484,25.0896,7.19921,0.857102,1.23574,16.3811,25.0203,23.9258,2940.73,2756.62,2034.6,-273,2.60255e+128,-273,330.124
1697736786978552625,27.9294,6.82058,0.857102,1.51971,14.6772,24.4243,24.5807,2941.67,2757.09,2035.74,-273,2.60255e+128,-273,330.693
1697736787047729382,27.9294,6.82058,0.857102,1.51971,14.6772,24.4243,24.5807,2941.67,2757.09,2035.74,-273,2.60255e+128,-273,330.693
1697736787116906315,26.5095,7.00989,1.04642,1.33039,16.5704,24.8347,24.2093,2940.82,2757.66,2034.6,-273,2.60255e+128,-273,330.314
1697736787186083700,25.1843,6.91524,1.04642,1.33039,14.7719,24.4243,25.1278,2931.91,2750.84,2030.81,-273,2.60255e+128,-273,329.682
1697736787255261140,25.1843,6.91524,1.04642,1.33039,14.7719,24.4243,25.1278,2931.91,2750.84,2030.81,-273,2.60255e+128,-273,329.682
1697736787324437906,25.6576,8.1458,1.14108,1.51971,14.7719,24.7859,25.0203,2941.11,2757.47,2034.6,-273,2.60255e+128,-273,329.682
1697736787393614571,26.9828,8.61909,0.762443,1.42505,14.7719,24.5807,24.5025,2936.37,2755.2,2032.23,-273,2.60255e+128,-273,329.429
1697736787462792046,26.9828,8.61909,0.762443,1.42505,14.7719,24.5807,24.5025,2936.37,2755.2,2032.23,-273,2.60255e+128,-273,329.429
1697736787531969667,24.995,8.33511,1.51971,1.33039,14.9612,24.6295,24.9422,2941.67,2763.44,2038.01,-273,2.60255e+128,-273,331.641
1697736787601146719,24.8057,6.72592,0.95176,1.33039,15.1505,25.1278,24.4243,2939.4,2756.52,2034.69,-273,2.60255e+128,-273,330.504
1697736787670322604,24.8057,6.72592,0.95176,1.33039,15.1505,25.1278,24.4243,2939.4,2756.52,2034.69,-273,2.60255e+128,-273,330.504
1697736787739503167,26.5095,5.30604,0.857102,1.23574,15.0559,25.0203,24.2386,2941.2,2757,2034.98,-273,2.60255e+128,-273,330.314
1697736787808681238,26.4149,5.59002,1.04642,1.33039,14.8665,25.1766,24.2386,2940.73,2757.57,2034.12,-273,2.60255e+128,-273,329.998
1697736787877859361,24.5217,5.21139,0.95176,1.33039,14.6772,24.7566,24.0529,2941.48,2756.9,2035.45,-273,2.60255e+128,-273,330.441
1697736787947047829,24.5217,5.21139,0.95176,1.33039,14.6772,24.7566,24.0529,2941.48,2756.9,2035.45,-273,2.60255e+128,-273,330.441
1697736788016226347,23.3858,5.21139,0.857102,1.23574,13.068,26.1138,24.7077,2941.01,2757.19,2035.17,-273,2.60255e+128,-273,330.061
1697736788085403807,27.4561,5.77934,0.95176,1.33039,16.4757,24.9715,24.5025,2931.63,2751.03,2031.28,-273,2.60255e+128,-273,329.366
1697736788154580525,27.4561,5.77934,0.95176,1.33039,16.4757,24.9715,24.5025,2931.63,2751.03,2031.28,-273,2.60255e+128,-273,329.366
1697736788223751948,27.1721,6.5366,0.95176,1.42505,16.3811,24.6589,24.5807,2941.01,2758.23,2034.31,-273,2.60255e+128,-273,329.935
1697736788292928529,24.8057,8.24045,0.857102,1.33039,16.1918,24.2875,24.0529,2936.37,2753.87,2032.04,-273,2.60255e+128,-273,329.176
1697736788362104296,24.8057,8.24045,0.857102,1.33039,16.1918,24.2875,24.0529,2936.37,2753.87,2032.04,-273,2.60255e+128,-273,329.176
1697736788431281522,24.9003,8.33511,0.95176,1.33039,14.4879,24.7077,24.7077,2941.58,2758.04,2036.12,-273,2.60255e+128,-273,329.682
1697736788500481253,38.1525,8.8084,0.95176,1.23574,15.0559,25.5379,24.0529,2939.78,2753.87,2030.71,-273,2.60255e+128,-273,328.671
1697736788569657893,38.1525,8.8084,0.95176,1.23574,15.0559,25.5379,24.0529,2939.78,2753.87,2030.71,-273,2.60255e+128,-273,328.671
1697736788638834360,33.7982,8.61909,0.95176,1.51971,15.0559,24.3461,24.3461,2941.67,2754.06,2031.47,-273,2.60255e+128,-273,327.344
1697736788707974384,32.757,8.52443,0.762443,1.33039,16.2864,24.6002,24.8347,2941.3,2753.77,2030.33,-273,2.60255e+128,-273,326.901
1697736788777178022,32.757,8.52443,0.762443,1.33039,16.2864,24.6002,24.8347,2941.3,2753.77,2030.33,-273,2.60255e+128,-273,326.901
1697736788846355054,32.473,7.19921,0.95176,1.42505,14.9612,24.9715,24.1116,2941.77,2752.73,2032.89,-273,2.60255e+128,-273,329.429
1697736788915531729,30.7691,6.5366,0.95176,1.23574,14.5826,24.6295,24.395,2941.39,2756.9,2032.32,-273,2.60255e+128,-273,328.292
1697736788984707763,18.7475,7.10455,1.04642,1.23574,14.9612,24.5221,25.1473,2932.29,2760.7,2034.41,-273,2.60255e+128,-273,331.515
1697736789053883876,18.7475,7.10455,1.04642,1.23574,14.9612,24.5221,25.1473,2932.29,2760.7,2034.41,-273,2.60255e+128,-273,331.515
1697736789122947789,19.5048,6.72592,1.14108,1.42505,14.9612,24.8152,24.2679,2941.11,2758.42,2035.64,-273,2.60255e+128,-273,331.325
1697736789192119136,19.6941,6.82058,0.95176,1.14108,16.2864,24.0529,24.3657,2936.56,2754.63,2033.75,-273,2.60255e+128,-273,330.061
1697736789261296062,19.6941,6.82058,0.95176,1.14108,16.2864,24.0529,24.3657,2936.56,2754.63,2033.75,-273,2.60255e+128,-273,330.061
1697736789330474889,25.4683,6.63126,0.95176,1.33039,14.5826,24.7859,24.2386,2941.48,2757.66,2035.45,-273,2.60255e+128,-273,330.061
1697736789399654338,36.9219,7.38853,1.70903,1.42505,17.1383,24.4732,24.395,2939.4,2752.16,2030.71,-273,2.60255e+128,-273,328.418
1697736789468830481,36.9219,7.38853,1.70903,1.42505,17.1383,24.4732,24.395,2939.4,2752.16,2030.71,-273,2.60255e+128,-273,328.418
1697736789538008196,32.0944,6.82058,1.14108,1.14108,14.9612,24.9422,24.6295,2941.77,2753.68,2030.71,-273,2.60255e+128,-273,328.039
1697736789607185899,30.5798,5.77934,0.857102,1.23574,15.1505,24.3461,24.737,2940.44,2750.84,2029.48,-273,2.60255e+128,-273,327.849
1697736789676361680,30.5798,5.77934,0.857102,1.23574,15.1505,24.3461,24.737,2940.44,2750.84,2029.48,-273,2.60255e+128,-273,327.849
1697736789745427814,27.9294,6.91524,1.14108,1.42505,14.7719,24.737,24.5025,2941.96,2752.73,2032.8,-273,2.60255e+128,-273,329.113
1697736789814605195,19.5995,5.59002,0.95176,1.23574,14.6772,24.991,24.5221,2941.48,2757.38,2035.45,-273,2.60255e+128,-273,330.377
1697736789883784040,19.5995,5.59002,0.95176,1.23574,14.6772,24.991,24.5221,2941.48,2757.38,2035.45,-273,2.60255e+128,-273,330.377
1697736789952961370,18.8422,6.91524,0.762443,1.33039,14.7719,24.864,24.5514,2931.81,2751.12,2030.52,-273,2.60255e+128,-273,329.429
1697736790022138854,24.1431,6.82058,1.14108,1.42505,14.9612,24.8347,24.2093,2941.86,2758.14,2035.36,-273,2.60255e+128,-273,330.061
